ewe_name	EN_ewe_name	botanical_name	spiritual_affiliation	EP	energetic_polarity	ritual_function	ifa_prescription	habitat_character	sources	GBIF	IUCN 	X	Y
Orógbó kàn 	bitter kola	Garcinia kola	Òrúnmìlà, Ògún, Èṣù	hot	classified as “hot”, vigorous, masculine, forceful plant 	used to seal words, energize Ifá rituals, and consecrate oaths 	Odu Òyèkú Méjì, Ìrètè Òfún	forest (igbó)	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of Ifá Literary Corpus; Wande Abimbola (1977) – Awon Odu Ifá (Yoruba edition); Sophie Oluwole – Philosophy and Oral Tradition (1999); Ivor Miller (2005). Voice of the Leopard; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry Drewal, Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba;	https://www.gbif.org/species/3189563	VU	30	-127
Ewé idí	schimper's terminalia, schimper's cluster-leaf	Terminalia Glaucescens	Òṣun, Yemọja	cool	classified as "cool" plant, it calms, harmonizes, and restores equilibrium	used for stability, fertility, and reconciliation. In medicine and ritual baths (ọ̀sà)	Odu Òṣá Méjì, Ìrẹtẹ Ògúndá,	near moist, shaded areas, at the base of trees or along the earth’s surface	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Abimbola (1977). Awon Odu Ifá (Yoruba edition); R.C. Abraham (1958). Dictionary of Modern Yoruba; Delano, Isaac (1958). Atumo Ede Yoruba; Oyekan Owomoyela (2005) in Yoruba Proverbs; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Delano, Isaac (1958) – Atumo Ede Yoruba;	https://www.gbif.org/species/3699081	LC	3	-226
Ewé òmu	brake fern, ribbon ferns	Pteris sp.	Yemọja, Òṣun	cool	classified as "cool" and gentle plant	used for fertility, lactation, protection, and nurturing energy	Odu Òṣé Òtúrá, Òṣá Méjì	moist, shaded, riverine areas	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Bolaji Idowu (1962), Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983), Gelede: Art and Female Power among the Yoruba; Teresa N. Washington (2005), Our Mothers, Our Powers, Our Texts; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpu;	https://www.gbif.org/species/2651676		-149	-192
Ewé ọ̀ọ̀kún	reclining date palm	Phoenix reclinata	Yemọja, Olókun	cool	classified as "cool" to soothe, cleanse, and renew	used for cleansing, renewal, fertility, and emotional healing	Odu Òtúrá Méjì, Ògúndá Méjì	coastal areas, estuaries, and lagoons	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Abimbola (1977). Awon Odu Ifá (Yoruba edition); Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; 	https://www.gbif.org/species/5293164	LC	-120	-390
Ewé àkúdìnrín	albizia	Albizia zygia	Ògún, Ọbàtálá	hot	classified as “hot”, energizing herb	used to carry the àṣẹ of revival, healing, and protection	Odu Ògúndá Méjì, Ìrètè Òfún	bushy, sunlit areas	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá (Yoruba edition); Henry & Margaret Drewal (1983), Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs; 	https://www.gbif.org/species/2973160	LC	94	-6
Ewé ikí	calamus, rattan palms	Calamus sp.	Ògún, Òrúnmìlà	hot	classified as "hot" to energize and awaken	used for revitalization, awakening, and protection	Odu Ògúndá Méjì, Odu Ìká Òfún	forest margins and clearings, often a shrub with aromatic leaves	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Abimbola (1977). Awon Odu Ifá (Yoruba edition); Bolaji Idowu (1962), Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983), Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs; 	https://www.gbif.org/species/8494406		-70	-43
Ẹ̀fọ́ yánrin	african-lettuce 	Launaea taraxacifolia	Ògún, Èṣù	hot-dry	classified as "hot-dry" stabilizes instability or spiritual confusion	used to “fortify the feet” of travelers (fọwọ́ sí irin àjò), and in purification baths	Odu Ògúndá Òfún, Osa Méjì	dry, open, sandy soils	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/3144875		164	-57
Iṣu	yam	Diascorea sp.	Òbàtálá, Oko, Ọbà	cool	classified as "cool", grounding, and stabilizing	used to honor ancestors, marking renewal of lineage and gratitude	Odu Òsé Òtúrá, Ògúndá Méjì	underground	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;			-133	55
Obì	kola nut	Cola acuminata	Òrúnmìlà, Èṣù, Òbàtálá	cool	classified as "cool" to restores calm between disputing forces, and purifies intent	used to opens ritual spaces and mediates between humans and deities	Odu Òbàrà Méjì, Òsé Òtúrá, Ìrètè Òfún	humid forests	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/5406685	LC	-32	-119
Ataare	alligator pepper	Aframomum melegueta	Èṣù, Ògún, Òrúnmìlà	hot	classified as "hot" to drives energy forward or quicken slow workings	used for activation, sealing, and truth-binding	Odu Ògúndá Méjì, Ìrètè Òsé, Osa Ogbe	humid forest	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/2758930	DD	109	-90
Ewé pèrègún	cornstalk dracaena	Dracaena fragrans	Òbàtálá, Ṣàngó, Òrúnmìlà	cool	classified as "cool" to pacify, strength, and preserve	used to stabilize, purify, and witness to the truth	Odu Ògúndá Òwónrín, Òfún Méjì, Òtúrá Méjì. In Òfún Méjì	open ground near shrines or compounds	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs; 	https://www.gbif.org/species/5304583	LC	172	-179
